[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,203.2, 1 x 1,195.66,196.83,200.0,0.01,0.01, 0 x 12365,0.01,-9e-05,0.0,0.00059,-0.01026,0.0, 3.065350, 0.000000,196.4,0.495
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,198.22, 1 x 20,190.64,191.61,205.0,0.01,0.01, 0 x 12357,0.01,-0.0005,-1e-05,0.00082,-0.00962,-0.00023, 2.958450, 0.000000,191.4,0.483
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 1 x 20,185.71,186.61,210.0,0.01,0.01, 0 x 12351,0.02,-0.00091,7e-05,0.00016,-0.01073,0.0, 2.863040, 0.000000,186.4,0.47
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 1 x 20,181.07,181.61,215.0,0.01,0.01, 0 x 12343,0.01,-0.00065,5e-05,7e-05,-0.01,-0.00038, 2.754360, 0.000000,181.4,0.458
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 2 x 1,175.67,176.83,220.0,0.01,0.01, 0 x 12330,0.01,-0.00078,1e-05,0.00074,-0.01013,-0.00025, 2.656800, 0.000000,176.4,0.445
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 1 x 20,170.67,171.61,225.0,0.01,0.01, 0 x 12324,0.01,-0.00097,-2e-05,0.00016,-0.01081,-0.00017, 2.566250, 0.000000,171.4,0.432
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,167.22, 2 x 1,165.67,166.84,230.0,0.01,0.01, 0 x 12809,0.02,-8e-05,7e-05,0.00043,-0.00988,-0.00041, 2.465050, 0.000000,166.4,0.42
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 1 x 20,161.08,161.61,235.0,0.01,0.01, 0 x 12296,0.01,-0.00061,6e-05,0.00065,-0.01007,0.0, 2.372110, 0.000000,161.4,0.407
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,155.09, 1 x 20,156.08,156.62,240.0,0.01,0.01, 0 x 12283,0.01,-0.00038,5e-05,0.00074,-0.01033,-0.00031, 2.280480, 0.000000,156.4,0.395
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 1 x 20,151.08,151.62,245.0,0.01,0.01, 0 x 12262,0.01,-0.00044,5e-05,0.00058,-0.00966,-0.00018, 2.191220, 0.000000,151.4,0.382
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 1 x 20,146.08,146.62,250.0,0.01,0.01, 0 x 12242,0.02,-0.00078,1e-05,0.00078,-0.00998,-7e-05, 2.109460, 0.000000,146.4,0.369
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 1 x 20,140.68,141.62,255.0,0.01,0.01, 0 x 13019,0.01,-0.00042,5e-05,0.00043,-0.00982,0.0, 2.018520, 0.000000,141.4,0.357
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,136.09,136.55,260.0,0.01,0.01, 0 x 12989,0.01,-0.00046,7e-05,0.00028,-0.00998,0.0, 1.936580, 0.000000,136.4,0.344
