QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.010370, , , 0.000000, 18 x 18, 163.850000, 164.200000,100.0, 0.000000, 0.010000, 0 x 8, 0.030000, -0.000430, -0.000020, 0.000410, -0.004860, 0.000000, 2.872730, 1.000000,164.0,0.621
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.011070, , 0.000000, 153.050000, 18 x 5, 158.750000, 159.100000,105.0, 0.000000, 0.020000, 0 x 62, 0.030000, -0.000390, 0.000010, 0.000710, -0.009060, 0.000000, 2.884700, 2.000000,159.0,0.602
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.011090, , , 0.000000, 6 x 18, 153.850000, 154.150000,110.0, 0.000000, 0.020000, 0 x 59, 0.140000, -0.000890, 0.000010, 0.000110, -0.009480, -0.000060, 2.749790, 10.000000,154.0,0.583
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.999520, 0.000030, 0.000620, -0.017300, 0.011740, 2.762340, , 0.000000, 69 x 69, 148.250000, 149.850000,115.0, 0.000000, 0.020000, 0 x 60, 0.000000, -0.000390, 0.000010, 0.000260, -0.009390, 0.000000, 2.609490, ,149.0,0.564
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.011790, , , 0.000000, 25 x 69, 143.100000, 144.850000,120.0, 0.000000, 0.010000, 0 x 40, 0.040000, 0.000000, 0.000040, 0.000730, -0.004230, -0.000090, 2.353070, 20.000000,144.0,0.546
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.995220, 0.000140, 0.003110, -0.093180, 0.012330, 2.996290, 1.000000, 122.400000, 69 x 69, 138.450000, 139.850000,125.0, 0.000000, 0.020000, 0 x 60, 0.010000, -0.000910, 0.000010, 0.000190, -0.009170, -0.000410, 2.360840, 35.000000,139.0,0.527
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.998960, 0.000030, 0.001260, -0.017680, 0.013610, 2.375120, 2.000000, 74.500000, 19 x 19, 133.250000, 134.850000,130.0, 0.000000, 0.020000, 0 x 59, 0.020000, -0.000490, 0.000060, 0.000590, -0.009230, 0.000000, 2.241660, 1.000000,134.0,0.508
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.013990, , 1.000000, 95.300000, 69 x 69, 128.100000, 129.850000,135.0, 0.000000, 0.020000, 0 x 57, 0.010000, -0.001080, 0.000020, 0.000910, -0.008960, -0.000110, 2.130040, 10.000000,129.0,0.489
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, -0.000310, 0.013900, , 8.000000, 116.070000, 19 x 69, 123.100000, 124.850000,140.0, 0.000000, 0.020000, 0 x 57, 0.090000, -0.000740, 0.000020, 0.000670, -0.008950, -0.000410, 2.023690, 5.000000,124.0,0.47
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, -0.000190, 0.015280, , 2.000000, 111.130000, 26 x 21, 118.000000, 119.850000,145.0, 0.000000, 0.020000, 0 x 53, 0.020000, -0.000380, 0.000030, 0.000580, -0.009180, -0.000330, 1.919300, 25.000000,119.0,0.451
